<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.10	08:00:00	1.07430	1.07518	1.07222	1.07461	20909	0	0
2023.01.10	12:00:00	1.07461	1.07461	1.07121	1.07217	19561	0	0
2023.01.10	16:00:00	1.07219	1.07593	1.07216	1.07334	38630	0	0
2023.01.10	20:00:00	1.07334	1.07441	1.07275	1.07334	13128	0	0
2023.01.11	00:00:00	1.07329	1.07451	1.07252	1.07310	8248	0	0
2023.01.11	04:00:00	1.07308	1.07568	1.07263	1.07478	5942	0	0
2023.01.11	08:00:00	1.07480	1.07575	1.07255	1.07417	18590	0	0
2023.01.11	12:00:00	1.07417	1.07555	1.07282	1.07499	18496	0	0
2023.01.11	16:00:00	1.07499	1.07765	1.07364	1.07468	25841	0	0
2023.01.11	20:00:00	1.07467	1.07671	1.07350	1.07556	13096	0	0
2023.01.12	00:00:00	1.07535	1.07746	1.07490	1.07667	10033	0	1
2023.01.12	04:00:00	1.07667	1.07752	1.07615	1.07628	6894	0	0
2023.01.12	08:00:00	1.07628	1.07735	1.07427	1.07655	18493	0	0
2023.01.12	12:00:00	1.07654	1.08386	1.07302	1.08291	30151	0	0
2023.01.12	16:00:00	1.08291	1.08490	1.07515	1.08487	54600	0	0
2023.01.12	20:00:00	1.08487	1.08670	1.08397	1.08515	21067	0	0
2023.01.13	00:00:00	1.08497	1.08678	1.08385	1.08554	10534	0	0
2023.01.13	04:00:00	1.08555	1.08563	1.08314	1.08372	9297	0	0
2023.01.13	08:00:00	1.08372	1.08645	1.08332	1.08426	24708	0	0
2023.01.13	12:00:00	1.08425	1.08518	1.07926	1.07937	25216	0	0
2023.01.13	16:00:00	1.07938	1.08388	1.07805	1.08283	32997	0	0
2023.01.13	20:00:00	1.08283	1.08358	1.08182	1.08323	11101	0	0
2023.01.16	00:00:00	1.08295	1.08720	1.08193	1.08680	9510	0	0
2023.01.16	04:00:00	1.08680	1.08742	1.08508	1.08605	7895	0	0
2023.01.16	08:00:00	1.08603	1.08606	1.08016	1.08210	19483	0	0
2023.01.16	12:00:00	1.08210	1.08367	1.08060	1.08159	14923	0	0
2023.01.16	16:00:00	1.08159	1.08293	1.08118	1.08139	11879	0	0
2023.01.16	20:00:00	1.08138	1.08247	1.08109	1.08210	2081	0	0
2023.01.17	00:00:00	1.08197	1.08337	1.08141	1.08171	8939	0	0
2023.01.17	04:00:00	1.08169	1.08327	1.08060	1.08311	7849	0	0
2023.01.17	08:00:00	1.08310	1.08388	1.08110	1.08172	20945	0	0
2023.01.17	12:00:00	1.08174	1.08581	1.08088	1.08426	26546	0	0
2023.01.17	16:00:00	1.08427	1.08694	1.07745	1.07822	36087	0	0
2023.01.17	20:00:00	1.07822	1.08038	1.07799	1.07876	13640	0	0
2023.01.18	00:00:00	1.07879	1.07963	1.07824	1.07962	7025	0	0
2023.01.18	04:00:00	1.07962	1.07993	1.07661	1.07797	21030	0	0
2023.01.18	08:00:00	1.07794	1.08715	1.07793	1.08699	31770	0	0
2023.01.18	12:00:00	1.08699	1.08700	1.08114	1.08583	27996	0	0
2023.01.18	16:00:00	1.08584	1.08874	1.07874	1.07959	42672	0	0
2023.01.18	20:00:00	1.07960	1.07991	1.07868	1.07936	17294	0	0
2023.01.19	00:00:00	1.07903	1.07982	1.07825	1.07876	9721	0	0
2023.01.19	04:00:00	1.07877	1.08056	1.07822	1.07916	8764	0	0
2023.01.19	08:00:00	1.07917	1.08293	1.07825	1.08249	20594	0	0
2023.01.19	12:00:00	1.08250	1.08382	1.07955	1.08096	25689	0	0
2023.01.19	16:00:00	1.08095	1.08253	1.07836	1.08165	31673	0	0
2023.01.19	20:00:00	1.08164	1.08401	1.08131	1.08294	16569	0	0
2023.01.20	00:00:00	1.08291	1.08437	1.08264	1.08362	5544	0	0
2023.01.20	04:00:00	1.08363	1.08440	1.08252	1.08353	5999	0	0
2023.01.20	08:00:00	1.08354	1.08591	1.08207	1.08310	18025	0	0
2023.01.20	12:00:00	1.08311	1.08474	1.08024	1.08065	19789	0	0
2023.01.20	16:00:00	1.08065	1.08478	1.08046	1.08438	26559	0	0
2023.01.20	20:00:00	1.08437	1.08586	1.08338	1.08557	13502	0	0
2023.01.23	00:00:00	1.08622	1.08996	1.08590	1.08949	7534	0	0
2023.01.23	04:00:00	1.08949	1.09030	1.08889	1.08922	6657	0	0
2023.01.23	08:00:00	1.08922	1.09267	1.08874	1.09118	20633	0	0
2023.01.23	12:00:00	1.09118	1.09153	1.08532	1.08589	21733	0	0
2023.01.23	16:00:00	1.08589	1.08760	1.08464	1.08624	28007	0	0
2023.01.23	20:00:00	1.08625	1.08732	1.08478	1.08715	14715	0	0
2023.01.24	00:00:00	1.08705	1.08826	1.08670	1.08809	3975	0	0
2023.01.24	04:00:00	1.08807	1.08830	1.08694	1.08784	4013	0	0
2023.01.24	08:00:00	1.08784	1.08980	1.08519	1.08609	17860	0	0
2023.01.24	12:00:00	1.08605	1.08808	1.08522	1.08660	18034	0	0
2023.01.24	16:00:00	1.08660	1.08871	1.08352	1.08833	32235	0	0
2023.01.24	20:00:00	1.08833	1.08890	1.08741	1.08879	10575	0	0
2023.01.25	00:00:00	1.08856	1.08942	1.08791	1.08930	6457	0	0
2023.01.25	04:00:00	1.08931	1.09028	1.08919	1.08976	5287	0	0
2023.01.25	08:00:00	1.08977	1.09113	1.08676	1.08813	17073	0	0
2023.01.25	12:00:00	1.08814	1.08849	1.08574	1.08721	18894	0	0
2023.01.25	16:00:00	1.08721	1.09236	1.08685	1.08993	29111	0	0
2023.01.25	20:00:00	1.08993	1.09184	1.08993	1.09147	12376	0	0
2023.01.26	00:00:00	1.09152	1.09246	1.09071	1.09192	5336	0	0
2023.01.26	04:00:00	1.09190	1.09217	1.09089	1.09188	5236	0	0
2023.01.26	08:00:00	1.09185	1.09294	1.08926	1.08957	16755	0	0
2023.01.26	12:00:00	1.08957	1.09085	1.08729	1.09027	18506	0	0
2023.01.26	16:00:00	1.09028	1.09177	1.08506	1.08647	29776	0	0
2023.01.26	20:00:00	1.08644	1.08946	1.08637	1.08917	8775	0	0
2023.01.27	00:00:00	1.08909	1.09003	1.08849	1.08895	6063	0	0
2023.01.27	04:00:00	1.08894	1.08900	1.08657	1.08739	5609	0	0
2023.01.27	08:00:00	1.08738	1.08924	1.08658	1.08839	13341	0	0
2023.01.27	12:00:00	1.08839	1.08954	1.08594	1.08624	15562	0	0
2023.01.27	16:00:00	1.08624	1.08791	1.08378	1.08666	29661	0	0
2023.01.27	20:00:00	1.08665	1.08731	1.08564	1.08673	9501	0	0
2023.01.30	00:00:00	1.08618	1.08753	1.08579	1.08736	5080	0	0
2023.01.30	04:00:00	1.08737	1.08793	1.08644	1.08693	9541	0	0
2023.01.30	08:00:00	1.08693	1.09041	1.08531	1.09019	18116	0	0
2023.01.30	12:00:00	1.09020	1.09138	1.08862	1.08862	16984	0	0
2023.01.30	16:00:00	1.08864	1.08997	1.08575	1.08578	23977	0	0
2023.01.30	20:00:00	1.08578	1.08607	1.08393	1.08500	11111	0	0
2023.01.31	00:00:00	1.08480	1.08601	1.08453	1.08576	6554	0	0
2023.01.31	04:00:00	1.08576	1.08590	1.08332	1.08347	5628	0	0
2023.01.31	08:00:00	1.08349	1.08498	1.08017	1.08296	18550	0	0
2023.01.31	12:00:00	1.08295	1.08634	1.08203	1.08512	21118	0	0
2023.01.31	16:00:00	1.08513	1.08678	1.08336	1.08652	29052	0	0
2023.01.31	20:00:00	1.08653	1.08750	1.08599	1.08614	9932	0	0
2023.02.01	00:00:00	1.08607	1.08654	1.08571	1.08573	4410	0	0
2023.02.01	04:00:00	1.08572	1.08749	1.08523	1.08717	3786	0	0
2023.02.01	08:00:00	1.08717	1.08886	1.08658	1.08833	14754	0	0
2023.02.01	12:00:00	1.08825	1.09100	1.08792	1.09042	15979	0	0
2023.02.01	16:00:00	1.09041	1.09247	1.08877	1.09079	23348	0	0
2023.02.01	20:00:00	1.09080	1.10014	1.08885	1.09886	39371	0	0
2023.02.02	00:00:00	1.09870	1.10329	1.09838	1.10134	10708	0	0
2023.02.02	04:00:00	1.10131	1.10255	1.10120	1.10202	7800	0	0
2023.02.02	08:00:00	1.10201	1.10218	1.09888	1.09987	17946	0	0
2023.02.02	12:00:00	1.09987	1.10043	1.09438	1.09452	29602	0	0
2023.02.02	16:00:00	1.09452	1.09665	1.08853	1.09084	37057	0	0
2023.02.02	20:00:00	1.09089	1.09229	1.09053	1.09099	19203	0	0
2023.02.03	00:00:00	1.09081	1.09115	1.08912	1.08937	6110	0	0
2023.02.03	04:00:00	1.08937	1.08985	1.08872	1.08937	6301	0	0
2023.02.03	08:00:00	1.08938	1.09310	1.08820	1.09301	17829	0	0
2023.02.03	12:00:00	1.09299	1.09402	1.08265	1.08399	25728	0	0
2023.02.03	16:00:00	1.08398	1.08762	1.08094	1.08247	44130	0	0
2023.02.03	20:00:00	1.08247	1.08249	1.07923	1.07932	16149	0	0
2023.02.06	00:00:00	1.07800	1.07978	1.07786	1.07851	11647	0	0
2023.02.06	04:00:00	1.07851	1.07989	1.07822	1.07968	10093	0	0
2023.02.06	08:00:00	1.07968	1.07980	1.07652	1.07667	19123	0	0
2023.02.06	12:00:00	1.07667	1.07832	1.07568	1.07581	19035	0	0
2023.02.06	16:00:00	1.07581	1.07662	1.07095	1.07132	27622	0	0
2023.02.06	20:00:00	1.07132	1.07373	1.07103	1.07249	11554	0	0
2023.02.07	00:00:00	1.07242	1.07425	1.07203	1.07412	7509	0	0
2023.02.07	04:00:00	1.07412	1.07427	1.07286	1.07404	9301	0	0
2023.02.07	08:00:00	1.07404	1.07438	1.06971	1.07110	22412	0	0
2023.02.07	12:00:00	1.07109	1.07227	1.06859	1.06954	21225	0	0
2023.02.07	16:00:00	1.06954	1.07664	1.06692	1.07603	33719	0	0
2023.02.07	20:00:00	1.07603	1.07628	1.06874	1.07267	32991	0	0
2023.02.08	00:00:00	1.07233	1.07350	1.07182	1.07264	5561	0	0
2023.02.08	04:00:00	1.07264	1.07349	1.07238	1.07337	5567	0	0
2023.02.08	08:00:00	1.07337	1.07609	1.07240	1.07553	18555	0	0
2023.02.08	12:00:00	1.07553	1.07558	1.07258	1.07317	16635	0	0
2023.02.08	16:00:00	1.07317	1.07433	1.07137	1.07285	28064	0	0
2023.02.08	20:00:00	1.07286	1.07392	1.07094	1.07129	13773	0	0
2023.02.09	00:00:00	1.07095	1.07260	1.07083	1.07247	9713	0	0
2023.02.09	04:00:00	1.07247	1.07383	1.07237	1.07357	7109	0	0
2023.02.09	08:00:00	1.07357	1.07690	1.07241	1.07638	19207	0	0
2023.02.09	12:00:00	1.07638	1.07902	1.07587	1.07899	18283	0	0
2023.02.09	16:00:00	1.07899	1.07908	1.07391	1.07487	23114	0	0
2023.02.09	20:00:00	1.07487	1.07488	1.07317	1.07386	13245	0	0
2023.02.10	00:00:00	1.07361	1.07420	1.07257	1.07336	6590	0	0
2023.02.10	04:00:00	1.07329	1.07343	1.07173	1.07260	8217	0	0
2023.02.10	08:00:00	1.07260	1.07529	1.07042	1.07068	26608	0	0
2023.02.10	12:00:00	1.07067	1.07114	1.06813	1.06960	19456	0	0
2023.02.10	16:00:00	1.06959	1.07069	1.06664	1.06684	25927	0	0
2023.02.10	20:00:00	1.06684	1.06808	1.06677	1.06782	7310	0	0
2023.02.13	00:00:00	1.06803	1.06813	1.06555	1.06669	9829	0	0
2023.02.13	04:00:00	1.06670	1.06710	1.06605	1.06696	7490	0	0
2023.02.13	08:00:00	1.06696	1.06899	1.06633	1.06772	15403	0	0
2023.02.13	12:00:00	1.06772	1.06966	1.06734	1.06808	13277	0	0
2023.02.13	16:00:00	1.06808	1.07275	1.06765	1.07184	19924	0	0
2023.02.13	20:00:00	1.07184	1.07300	1.07117	1.07243	7389	0	0
2023.02.14	00:00:00	1.07188	1.07368	1.07182	1.07287	6640	0	0
2023.02.14	04:00:00	1.07287	1.07399	1.07254	1.07384	6816	0	0
2023.02.14	08:00:00	1.07383	1.07670	1.07289	1.07615	16183	0	0
2023.02.14	12:00:00	1.07614	1.08045	1.07184	1.07607	27221	0	0
2023.02.14	16:00:00	1.07611	1.07720	1.07068	1.07279	51354	0	0
2023.02.14	20:00:00	1.07277	1.07454	1.07233	1.07352	15911	0	0
2023.02.15	00:00:00	1.07360	1.07445	1.07320	1.07397	6487	0	0
2023.02.15	04:00:00	1.07397	1.07399	1.07137	1.07152	8424	0	0
2023.02.15	08:00:00	1.07152	1.07299	1.07000	1.07258	18764	0	0
2023.02.15	12:00:00	1.07257	1.07331	1.06741	1.06831	20880	0	0
2023.02.15	16:00:00	1.06831	1.06892	1.06619	1.06669	29599	0	0
2023.02.15	20:00:00	1.06669	1.06915	1.06606	1.06864	8812	0	0
2023.02.16	00:00:00	1.06862	1.07080	1.06796	1.07049	12844	0	0
2023.02.16	04:00:00	1.07048	1.07149	1.07011	1.07055	7421	0	0
2023.02.16	08:00:00	1.07054	1.07225	1.06891	1.07005	16466	0	0
2023.02.16	12:00:00	1.07005	1.07128	1.06699	1.06795	21743	0	0
2023.02.16	16:00:00	1.06794	1.06961	1.06546	1.06930	31752	0	0
2023.02.16	20:00:00	1.06929	1.06976	1.06694	1.06716	15276	0	0
2023.02.17	00:00:00	1.06720	1.06742	1.06523	1.06534	6554	0	0
2023.02.17	04:00:00	1.06534	1.06557	1.06328	1.06384	7766	0	0
2023.02.17	08:00:00	1.06384	1.06613	1.06296	1.06370	16831	0	0
2023.02.17	12:00:00	1.06369	1.06447	1.06128	1.06413	17122	0	0
2023.02.17	16:00:00	1.06413	1.06939	1.06368	1.06786	29716	0	0
2023.02.17	20:00:00	1.06789	1.06985	1.06776	1.06935	10043	0	0
2023.02.20	00:00:00	1.06848	1.06932	1.06730	1.06759	7647	0	0
2023.02.20	04:00:00	1.06759	1.06934	1.06754	1.06909	6721	0	0
2023.02.20	08:00:00	1.06910	1.07047	1.06792	1.06794	12238	0	0
2023.02.20	12:00:00	1.06794	1.06923	1.06704	1.06806	10425	0	0
2023.02.20	16:00:00	1.06806	1.06939	1.06784	1.06856	7705	0	0
2023.02.20	20:00:00	1.06858	1.06875	1.06821	1.06853	1997	0	0
2023.02.21	00:00:00	1.06837	1.06885	1.06674	1.06737	6950	0	0
2023.02.21	04:00:00	1.06737	1.06752	1.06620	1.06738	6243	0	0
2023.02.21	08:00:00	1.06738	1.06881	1.06428	1.06625	19259	0	0
2023.02.21	12:00:00	1.06625	1.06696	1.06458	1.06529	18192	0	0
2023.02.21	16:00:00	1.06529	1.06983	1.06439	1.06607	28102	0	0
2023.02.21	20:00:00	1.06607	1.06614	1.06375	1.06465	8152	0	0
2023.02.22	00:00:00	1.06445	1.06640	1.06426	1.06577	12494	0	0
2023.02.22	04:00:00	1.06577	1.06626	1.06513	1.06576	6087	0	0
2023.02.22	08:00:00	1.06576	1.06636	1.06357	1.06375	14897	0	0
2023.02.22	12:00:00	1.06375	1.06506	1.06246	1.06463	18261	0	0
2023.02.22	16:00:00	1.06463	1.06605	1.06173	1.06282	25347	0	0
2023.02.22	20:00:00	1.06283	1.06361	1.05992	1.06045	18535	0	0
2023.02.23	00:00:00	1.06036	1.06216	1.06005	1.06197	4322	0	0
2023.02.23	04:00:00	1.06197	1.06247	1.06145	1.06225	4598	0	0
2023.02.23	08:00:00	1.06225	1.06278	1.05874	1.05910	15857	0	0
2023.02.23	12:00:00	1.05907	1.06211	1.05860	1.06077	20084	0	0
2023.02.23	16:00:00	1.06079	1.06165	1.05771	1.05854	29310	0	0
2023.02.23	20:00:00	1.05854	1.06033	1.05810	1.05971	11504	0	0
2023.02.24	00:00:00	1.05926	1.06143	1.05900	1.06013	9439	0	0
2023.02.24	04:00:00	1.06012	1.06063	1.05947	1.05975	6941	0	0
2023.02.24	08:00:00	1.05977	1.06023	1.05800	1.05858	16874	0	0
2023.02.24	12:00:00	1.05857	1.05962	1.05438	1.05539	24184	0	0
2023.02.24	16:00:00	1.05539	1.05607	1.05362	1.05472	36312	0	0
2023.02.24	20:00:00	1.05472	1.05557	1.05438	1.05446	11880	0	0
2023.02.27	00:00:00	1.05459	1.05593	1.05429	1.05592	6742	0	0
2023.02.27	04:00:00	1.05589	1.05599	1.05389	1.05395	6640	0	0
2023.02.27	08:00:00	1.05395	1.05614	1.05330	1.05512	17222	0	0
2023.02.27	12:00:00	1.05512	1.05834	1.05488	1.05829	15991	0	0
2023.02.27	16:00:00	1.05829	1.06199	1.05760	1.06013	22594	0	0
2023.02.27	20:00:00	1.06013	1.06129	1.05988	1.06096	9769	0	0
2023.02.28	00:00:00	1.06084	1.06148	1.05861	1.05865	6100	0	0
2023.02.28	04:00:00	1.05867	1.05987	1.05821	1.05848	5951	0	0
2023.02.28	08:00:00	1.05847	1.06254	1.05821	1.06060	16589	0	0
2023.02.28	12:00:00	1.06060	1.06319	1.06057	1.06313	14387	0	0
2023.02.28	16:00:00	1.06313	1.06454	1.05953	1.06056	25596	0	0
2023.02.28	20:00:00	1.06054	1.06068	1.05739	1.05741	7818	0	0
2023.03.01	00:00:00	1.05751	1.05851	1.05654	1.05843	10000	0	0
2023.03.01	04:00:00	1.05844	1.05955	1.05814	1.05910	6283	0	0
2023.03.01	08:00:00	1.05911	1.06576	1.05894	1.06424	20747	0	0
2023.03.01	12:00:00	1.06423	1.06916	1.06400	1.06715	19959	0	0
2023.03.01	16:00:00	1.06715	1.06798	1.06434	1.06653	29315	0	0
2023.03.01	20:00:00	1.06654	1.06713	1.06465	1.06694	8228	0	0
2023.03.02	00:00:00	1.06683	1.06728	1.06466	1.06514	6757	0	1
2023.03.02	04:00:00	1.06514	1.06568	1.06373	1.06414	6878	0	0
2023.03.02	08:00:00	1.06413	1.06448	1.06192	1.06239	18129	0	0
2023.03.02	12:00:00	1.06240	1.06313	1.05819	1.05861	24030	0	0
2023.03.02	16:00:00	1.05859	1.06147	1.05766	1.05798	27410	0	0
2023.03.02	20:00:00	1.05799	1.06065	1.05765	1.05972	13336	0	0
2023.03.03	00:00:00	1.05966	1.06144	1.05936	1.06084	5794	0	0
2023.03.03	04:00:00	1.06085	1.06149	1.06019	1.06091	5695	0	0
2023.03.03	08:00:00	1.06092	1.06292	1.06074	1.06101	16356	0	0
2023.03.03	12:00:00	1.06099	1.06297	1.06005	1.06225	16830	0	0
2023.03.03	16:00:00	1.06225	1.06296	1.05884	1.06249	28270	0	0
2023.03.03	20:00:00	1.06249	1.06387	1.06201	1.06328	10402	0	0
2023.03.06	00:00:00	1.06228	1.06381	1.06217	1.06364	5976	0	0
2023.03.06	04:00:00	1.06364	1.06501	1.06281	1.06485	6081	0	0
2023.03.06	08:00:00	1.06486	1.06574	1.06281	1.06292	15338	0	0
2023.03.06	12:00:00	1.06293	1.06583	1.06222	1.06547	16461	0	0
2023.03.06	16:00:00	1.06547	1.06945	1.06503	1.06852	22921	0	0
2023.03.06	20:00:00	1.06851	1.06860	1.06684	1.06830	9513	0	0
2023.03.07	00:00:00	1.06819	1.06888	1.06691	1.06865	6408	0	0
2023.03.07	04:00:00	1.06864	1.06932	1.06814	1.06854	5752	0	0
2023.03.07	08:00:00	1.06853	1.06945	1.06557	1.06569	17257	0	0
2023.03.07	12:00:00	1.06569	1.06720	1.06502	1.06564	16182	0	0
2023.03.07	16:00:00	1.06562	1.06612	1.05660	1.05673	43631	0	0
2023.03.07	20:00:00	1.05674	1.05739	1.05460	1.05495	13280	0	0
2023.03.08	00:00:00	1.05485	1.05530	1.05421	1.05447	4896	0	0
2023.03.08	04:00:00	1.05448	1.05470	1.05244	1.05311	5957	0	0
2023.03.08	08:00:00	1.05311	1.05487	1.05305	1.05356	13960	0	0
2023.03.08	12:00:00	1.05356	1.05493	1.05341	1.05412	14675	0	0
2023.03.08	16:00:00	1.05412	1.05740	1.05292	1.05452	29362	0	0
2023.03.08	20:00:00	1.05452	1.05507	1.05396	1.05442	10124	0	0
2023.03.09	00:00:00	1.05434	1.05534	1.05380	1.05405	4137	0	0
2023.03.09	04:00:00	1.05406	1.05555	1.05394	1.05524	3358	0	0
2023.03.09	08:00:00	1.05524	1.05698	1.05482	1.05585	8066	0	0
2023.03.09	12:00:00	1.05586	1.05814	1.05526	1.05743	16116	0	0
2023.03.09	16:00:00	1.05742	1.05865	1.05637	1.05772	20377	0	0
2023.03.09	20:00:00	1.05772	1.05913	1.05725	1.05814	13644	0	0
2023.03.10	00:00:00	1.05815	1.05993	1.05744	1.05946	6256	0	1
2023.03.10	04:00:00	1.05946	1.05985	1.05790	1.05867	11100	0	0
2023.03.10	08:00:00	1.05866	1.06068	1.05740	1.05814	18020	0	0
2023.03.10	12:00:00	1.05813	1.06442	1.05778	1.06217	26888	0	0
2023.03.10	16:00:00	1.06218	1.07008	1.06121	1.06685	49426	0	0
2023.03.10	20:00:00	1.06685	1.06728	1.06361	1.06381	19656	0	0
2023.03.13	00:00:00	1.06934	1.07024	1.06639	1.06686	24822	0	0
2023.03.13	04:00:00	1.06684	1.07369	1.06680	1.07204	21026	0	0
2023.03.13	08:00:00	1.07203	1.07372	1.06626	1.06704	35123	0	0
2023.03.13	12:00:00	1.06705	1.07212	1.06504	1.06994	52721	0	0
2023.03.13	16:00:00	1.06991	1.07486	1.06968	1.07384	41338	0	0
2023.03.13	20:00:00	1.07387	1.07428	1.07210	1.07286	16548	0	0
2023.03.14	00:00:00	1.07274	1.07304	1.07052	1.07085	13764	0	0
2023.03.14	04:00:00	1.07085	1.07129	1.06971	1.07076	10490	0	0
2023.03.14	08:00:00	1.07076	1.07157	1.06790	1.07114	30175	0	0
2023.03.14	12:00:00	1.07112	1.07488	1.06981	1.07081	41817	0	0
2023.03.14	16:00:00	1.07082	1.07430	1.07052	1.07330	31129	0	0
2023.03.14	20:00:00	1.07330	1.07496	1.07261	1.07309	12432	0	0
2023.03.15	00:00:00	1.07310	1.07394	1.07250	1.07381	8627	0	0
2023.03.15	04:00:00	1.07383	1.07599	1.07360	1.07382	9938	0	0
2023.03.15	08:00:00	1.07383	1.07444	1.06657	1.06781	24549	0	0
2023.03.15	12:00:00	1.06781	1.06844	1.05224	1.05452	52512	0	0
2023.03.15	16:00:00	1.05452	1.05649	1.05160	1.05569	37238	0	0
2023.03.15	20:00:00	1.05569	1.05925	1.05473	1.05766	22914	0	0
2023.03.16	00:00:00	1.05757	1.05991	1.05731	1.05938	16374	0	0
2023.03.16	04:00:00	1.05938	1.06155	1.05874	1.06072	11542	0	0
2023.03.16	08:00:00	1.06073	1.06357	1.05928	1.06174	25746	0	0
2023.03.16	12:00:00	1.06173	1.06213	1.05507	1.06066	37316	0	0
2023.03.16	16:00:00	1.06073	1.06268	1.05729	1.05922	43067	0	0
2023.03.16	20:00:00	1.05922	1.06205	1.05917	1.06115	11496	0	0
2023.03.17	00:00:00	1.06115	1.06319	1.06081	1.06260	11368	0	0
2023.03.17	04:00:00	1.06260	1.06507	1.06257	1.06487	9721	0	0
2023.03.17	08:00:00	1.06487	1.06701	1.06403	1.06470	19028	0	0
2023.03.17	12:00:00	1.06468	1.06470	1.06122	1.06256	23075	0	0
2023.03.17	16:00:00	1.06256	1.06759	1.06248	1.06729	26329	0	0
2023.03.17	20:00:00	1.06729	1.06854	1.06586	1.06653	9591	0	0
2023.03.20	00:00:00	1.06830	1.06899	1.06653	1.06748	13804	0	0
2023.03.20	04:00:00	1.06750	1.06845	1.06644	1.06794	11040	0	0
2023.03.20	08:00:00	1.06794	1.06811	1.06313	1.06745	35693	0	0
2023.03.20	12:00:00	1.06745	1.07309	1.06709	1.07238	23733	0	0
2023.03.20	16:00:00	1.07238	1.07296	1.07069	1.07161	18214	0	0
2023.03.20	20:00:00	1.07161	1.07258	1.07142	1.07177	10460	0	0
2023.03.21	00:00:00	1.07177	1.07259	1.07151	1.07169	10448	0	0
2023.03.21	04:00:00	1.07169	1.07224	1.07097	1.07157	5534	0	0
2023.03.21	08:00:00	1.07158	1.07496	1.07041	1.07462	17732	0	0
2023.03.21	12:00:00	1.07462	1.07886	1.07401	1.07769	17971	0	0
2023.03.21	16:00:00	1.07769	1.07830	1.07608	1.07643	18372	0	0
2023.03.21	20:00:00	1.07645	1.07742	1.07563	1.07667	5220	0	0
2023.03.22	00:00:00	1.07667	1.07769	1.07659	1.07726	8122	0	0
2023.03.22	04:00:00	1.07727	1.07753	1.07653	1.07726	6861	0	0
2023.03.22	08:00:00	1.07725	1.07931	1.07592	1.07867	16275	0	0
2023.03.22	12:00:00	1.07867	1.08003	1.07760	1.07815	14780	0	0
2023.03.22	16:00:00	1.07815	1.08005	1.07758	1.07935	13520	0	0
